".model","armse","amae","amape","srmse","smae","smape","h","i"
"wlsv",2559.37118016652,2559.37118016652,17.2838867355244,4462.06721334214,4462.06721334214,6.53869228546007,1,145
"base",2864.64286490389,2864.64286490389,15.0685317643443,6277.2581756688,6277.2581756688,7.11486038214828,1,146
"bu",2864.64286490389,2864.64286490389,15.0685317643443,6277.2581756688,6277.2581756688,7.11486038214828,1,146
"mint",3315.73693713229,3315.73693713229,15.1577059249209,7473.83209576392,7473.83209576392,6.2474408103321,1,146
"ols",3388.21150249757,3388.21150249757,26.5392797120813,7166.81363660673,7166.81363660673,40.6755375257769,1,146
"wlss",3247.3444661688,3247.3444661688,25.1706285682499,6923.6607578251,6923.6607578251,42.3721060887778,1,146
"wlsv",3283.99342559285,3283.99342559285,15.178933266125,7442.48860003899,7442.48860003899,7.0092746101986,1,146
"base",3292.17307707457,3292.17307707457,20.1686087943795,6455.80290458952,6455.80290458952,15.6918097182893,1,147
"bu",3292.17307707457,3292.17307707457,20.1686087943795,6455.80290458952,6455.80290458952,15.6918097182893,1,147
"mint",3155.94884170583,3155.94884170583,20.1335711168454,6139.64104666721,6139.64104666721,16.7379659530018,1,147
"ols",3162.36117926901,3162.36117926901,59.1136806976932,6033.51531761557,6033.51531761557,100.061045552166,1,147
"wlss",3123.75307328895,3123.75307328895,34.4192480895508,6096.61580522357,6096.61580522357,47.4885296413723,1,147
"wlsv",3176.58329918117,3176.58329918117,19.8653600697279,6176.0286688175,6176.0286688175,15.9961041380333,1,147
"base",928.466098746097,928.466098746097,12.0736755017872,1508.90935248778,1508.90935248778,11.466633940803,1,148
"bu",928.466098746097,928.466098746097,12.0736755017872,1508.90935248778,1508.90935248778,11.466633940803,1,148
"mint",877.274201184228,877.274201184228,11.2700293640231,1453.77510624626,1453.77510624626,10.837415516774,1,148
"ols",1112.39667367389,1112.39667367389,17.9380653306828,1771.57237403935,1771.57237403935,18.2720131386742,1,148
"wlss",1054.00550598998,1054.00550598998,16.8427957233207,1690.29980980586,1690.29980980586,19.0718284647247,1,148
"wlsv",1038.95672807521,1038.95672807521,11.8926079637889,1716.22667682542,1716.22667682542,11.4308851921796,1,148
"base",1188.04888400988,1188.04888400988,13.0517695722083,3091.71681085569,3091.71681085569,15.2986270086164,1,149
"bu",1188.04888400988,1188.04888400988,13.0517695722083,3091.71681085569,3091.71681085569,15.2986270086164,1,149
"mint",1284.82822760413,1284.82822760413,13.1213647554988,3429.20153045687,3429.20153045687,15.2374184911448,1,149
"ols",1282.82278757475,1282.82278757475,11.7999363326699,3318.69050056589,3318.69050056589,10.5803052684602,1,149
"wlss",1244.11091613581,1244.11091613581,11.3814159470712,3265.71190537848,3265.71190537848,10.2532550982402,1,149
"wlsv",1295.97108350194,1295.97108350194,13.1650953689992,3432.27511903497,3432.27511903497,15.2615929144707,1,149
"base",2611.09367670752,2611.09367670752,13.9322926268235,7133.35413909946,7133.35413909946,12.3425574815323,1,150
"bu",2611.09367670752,2611.09367670752,13.9322926268235,7133.35413909946,7133.35413909946,12.3425574815323,1,150
"mint",2613.07905354279,2613.07905354279,14.4843056791964,7120.25566186317,7120.25566186317,12.7225438780001,1,150
"ols",2704.05228114344,2704.05228114344,34.417304561007,6641.794065952,6641.794065952,50.979808996373,1,150
"wlss",2646.43932828088,2646.43932828088,22.9745746101994,6740.20362234893,6740.20362234893,31.2168159804582,1,150
"wlsv",2463.30752827302,2463.30752827302,13.9485983508155,6627.10586843316,6627.10586843316,12.188635682142,1,150
"base",2085.7039556198,2085.7039556198,21.3832006985862,4471.17472914232,4471.17472914232,20.5393942752746,1,151
"bu",2085.7039556198,2085.7039556198,21.3832006985862,4471.17472914232,4471.17472914232,20.5393942752746,1,151
"mint",2073.45613102947,2073.45613102947,21.2616312335822,4442.06745451728,4442.06745451728,20.3725019358079,1,151
