".model","armse","amae","amape","srmse","smae","smape","h","i"
"mint",3337.32186225407,2767.83225317317,23.722897460798,6958.12135496262,5614.06987208031,17.396670668836,3,146
"ols",3546.66074922827,2933.12309419059,54.1233511545514,7030.50617221108,5673.44375021997,71.286307369799,3,146
"wlss",3438.74330359917,2815.69569425671,38.0256261325452,7018.46308655241,5653.19720769768,42.5261981149905,3,146
"wlsv",3419.25986808999,2863.94083504169,24.023385723832,7147.0812729531,5894.59123237216,18.0907237266839,3,146
"base",3476.045975693,3289.21919216771,25.5532463162031,7056.40643272468,6581.11334472975,18.0848993862835,3,147
"bu",3464.82442758731,3290.30484124538,25.5262506544938,7005.00849513366,6565.80393160402,17.9430121683023,3,147
"mint",3384.74114364179,3201.16808449251,24.9520652662182,6894.86639954333,6429.78060523799,16.9128317378241,3,147
"ols",3638.81919227235,3454.70155954872,30.8073982976732,7309.6358734446,6877.51903862362,27.4727118233223,3,147
"wlss",3638.64326576755,3449.79625711397,28.0541584179096,7370.33784283234,6896.35722977755,22.1349081321558,3,147
"wlsv",3625.99149559886,3450.14576141479,25.5946599824936,7481.17308347333,7040.37118299736,18.2028704006793,3,147
"base",3936.17386560748,3500.46325919692,27.3510371486888,8922.35177161551,7752.86760746798,18.9114753659235,3,148
"bu",3925.57144478749,3491.9798080682,27.2290510263391,8848.85927760859,7690.09692658489,18.7308990477295,3,148
"mint",3720.57802517895,3248.86995860856,25.5329442612578,8466.60288912218,7218.26033578771,16.936939224465,3,148
"ols",4044.13015391074,3625.1187874333,19.349520916406,9137.24367108338,8033.17755574001,8.3773777764373,3,148
"wlss",4034.66258179527,3611.1086969845,20.9004530038362,9121.4224218528,7992.86649094257,10.0000294684045,3,148
"wlsv",3996.90343058171,3570.31456176162,27.2587399059058,9105.17554906865,7963.49651813738,19.1314206354532,3,148
"base",5113.55339137438,4589.91082944666,26.9604057400357,12902.8099493214,11490.2954907022,17.3502108278765,3,149
"bu",5080.84655298385,4576.57634945676,26.9043672725692,12848.2696913959,11489.3034754525,17.2840636549224,3,149
"mint",4584.64841671063,3981.25037839282,24.9636517778495,11730.601838831,10075.3659794714,15.3787751572987,3,149
"ols",5157.52273310535,4640.18514399034,39.491323124082,13040.3854542409,11630.5577063678,49.9339123704262,3,149
"wlss",5146.9179127487,4636.96442420779,22.0018042106649,13021.9550426269,11626.557199763,16.6197360353916,3,149
"wlsv",5051.58202986376,4519.59304969468,26.6150240504258,12794.8483304125,11351.1568206488,17.0784031075173,3,149
"base",5916.28127722731,5741.51262923884,26.4073729898974,14636.8384127362,14561.7274874371,15.266681629139,3,150
"bu",5884.72787096386,5710.85024515145,26.3794974573303,14521.7020879377,14455.7254921538,15.3710973541709,3,150
"mint",6018.66014151569,5845.57680950344,26.097092243416,15021.2745384633,14953.9549466417,14.4957742425759,3,150
