".model","armse","amae","amape","srmse","smae","smape","h","i"
"bu",26121.9359930115,19699.9853164829,9.02475884655718,NA,NA,NA,3,142
"mint",24863.2854081818,21356.9367015207,10.1287876491323,NA,NA,NA,3,142
"ols",26870.2859333133,18649.3196088541,8.36842258431986,NA,NA,NA,3,142
"wlss",26745.5096070098,18763.9589888773,8.4477701064943,NA,NA,NA,3,142
"wlsv",26544.5473090736,18651.3685308655,8.3941398730794,NA,NA,NA,3,142
"base",18930.4233626441,15271.7446290919,7.44104050380023,NA,NA,NA,3,143
"bu",18355.0933804843,15697.4599414571,7.72579631328262,NA,NA,NA,3,143
"mint",17355.8955465242,15703.8881334471,7.82172237582252,NA,NA,NA,3,143
"ols",18997.8677869115,14896.0391226235,7.20623019183955,NA,NA,NA,3,143
"wlss",18838.4282630546,15072.5036239516,7.32178429424637,NA,NA,NA,3,143
"wlsv",18331.7626991935,14882.3154586444,7.24988321009106,NA,NA,NA,3,143
"base",19440.2589355467,15090.1445137299,7.29927546599643,NA,NA,NA,3,144
"bu",18140.0565885037,14218.9647261911,6.95291620652304,NA,NA,NA,3,144
"mint",17442.9101222534,15462.7483422866,7.76354375279204,NA,NA,NA,3,144
"ols",18599.1738743531,14882.2634349943,7.23905845426673,NA,NA,NA,3,144
"wlss",18239.8163102728,14429.345501713,7.01730911365623,NA,NA,NA,3,144
"wlsv",18485.4497721541,14899.6416601678,7.25034581969116,NA,NA,NA,3,144
"base",30066.9689776676,25647.9548942855,11.3880022249527,NA,NA,NA,3,145
"bu",28777.401999135,23946.7974878904,10.5870089511041,NA,NA,NA,3,145
"mint",29571.0189772528,24690.1900763444,10.9217422329808,NA,NA,NA,3,145
"ols",30100.4849351718,25434.5463596475,11.2749654060848,NA,NA,NA,3,145
"wlss",29570.5003385334,24990.6095995556,11.0781177643974,NA,NA,NA,3,145
"wlsv",29528.5052435792,24705.570506135,10.9318692671049,NA,NA,NA,3,145
"base",30036.9189890408,25523.9546588008,11.357740876985,NA,NA,NA,3,146
"bu",28044.961584307,22711.3212082296,10.02107260822,NA,NA,NA,3,146
"mint",27893.3670464408,22645.6517849445,9.99690249734276,NA,NA,NA,3,146
"ols",30118.402015548,25553.7055610803,11.3675739747872,NA,NA,NA,3,146
"wlss",29207.6685909919,24379.9752047298,10.8137114899783,NA,NA,NA,3,146
"wlsv",28903.0961117506,24040.219893298,10.6564897072694,NA,NA,NA,3,146
"base",30953.8563568627,29857.5737401631,13.4045291944236,NA,NA,NA,3,147
"bu",28940.8447124767,27659.3984713617,12.4000062201101,NA,NA,NA,3,147
"mint",27848.8797768159,26427.1012352547,11.8352473869575,NA,NA,NA,3,147
"ols",30673.399284789,29314.142617036,13.1414844583624,NA,NA,NA,3,147
"wlss",30612.6088929054,29256.6889185748,13.1158951083469,NA,NA,NA,3,147
"wlsv",30628.6715398451,29301.9813048585,13.1381950861717,NA,NA,NA,3,147
"base",31792.8378733995,29313.7687458081,12.8749911727862,NA,NA,NA,3,148
"bu",32192.3565349242,29660.4905610689,13.0257101443846,NA,NA,NA,3,148
"mint",29839.3005220966,27071.100623091,11.8604497454629,NA,NA,NA,3,148
"ols",32675.8675050579,30255.9849499545,13.2973410625162,NA,NA,NA,3,148
"wlss",32986.2189414668,30514.0427268514,13.4092260056214,NA,NA,NA,3,148
