".model","armse","amae","amape","srmse","smae","smape","h","i"
"ols",17207.3151714132,17207.3151714132,20.2741569460291,27812.2791008369,27812.2791008369,3.37575391575626,1,152
"wlss",17030.1479103492,17030.1479103492,21.015110954966,27444.4841618925,27444.4841618925,4.4695277719039,1,152
"wlsv",16949.7887029578,16949.7887029578,21.2477741761359,27307.466158111,27307.466158111,5.22024094081114,1,152
"base",18107.8836351342,18107.8836351342,13.7709183878485,29894.7693901677,29894.7693901677,10.0406167373841,1,153
"bu",17500.5260664019,17500.5260664019,13.3496025136433,28834.1410163708,28834.1410163708,10.1725053148293,1,153
"mint",16610.734394473,16610.734394473,14.3070913769575,26931.9690854435,26931.9690854435,10.6945039229519,1,153
"ols",18011.3513820933,18011.3513820933,22.2362836016959,28775.6403592622,28775.6403592622,0.747860061466104,1,153
"wlss",18154.0338680662,18154.0338680662,18.6610376524607,29188.1199275845,29188.1199275845,7.32840897388516,1,153
"wlsv",17553.8912052304,17553.8912052304,13.8138416841407,28876.2536238505,28876.2536238505,9.69852193768666,1,153
"base",18651.8114569787,18484.5216873599,21.5467008990029,29360.983388954,29170.8141523246,1.77343325437701,2,141
"bu",17724.6242671129,17553.7642100604,20.5755179415305,28022.6123369574,27848.2817903468,3.15223866623806,2,141
"mint",16926.2370079354,16752.1392623116,18.0745645247601,27012.1468483629,26862.392299703,3.45785076539026,2,141
"ols",18225.8939217627,18098.3693257522,19.0302822087991,28945.5990693851,28817.7501928212,3.23872606328401,2,141
"wlss",18117.3225554252,17979.9949012671,21.2516874575648,28530.7878632924,28405.8655582198,2.40060291726286,2,141
"wlsv",18078.1748657607,17940.6861343224,21.0143914635129,28554.3849051594,28427.9693145724,2.85802619700041,2,141
"base",11274.9480516464,8367.3809169348,12.8411741946108,18030.5292225216,13079.8667329458,3.39244483650323,2,142
"bu",10154.3129091947,7593.49982111342,12.3085126735868,16127.5702144471,11761.2571583573,4.03496657395414,2,142
"mint",9737.18547042796,7955.62294748582,14.188314535895,15188.7168015872,12250.5032796541,5.02411599792866,2,142
"ols",10957.3918608376,8111.47871286308,13.2455790631364,17405.597974901,12595.2524641725,4.97333618833265,2,142
"wlss",10730.6379488866,7793.00014540256,12.7853762215907,17023.3763958513,12014.5927645593,4.05848981638808,2,142
"wlsv",10643.8579563888,7827.11611271239,12.5257974213278,16975.8477517321,12142.6204237328,3.87861128020757,2,142
"base",2786.06415841894,2146.16607977951,11.6080881701951,2846.37330995151,2067.21791599559,11.133321229387,2,143
"bu",3565.03134321654,3093.0809957092,13.6618783581796,3890.25619197575,3354.79485650349,12.5843725135764,2,143
"mint",4049.76066774296,3709.45543793462,16.9173662915768,4396.57699381202,4045.31495303592,13.6728912941745,2,143
"ols",3040.71832850566,2446.87849024715,13.1440199580098,3129.2542507246,2422.46684006913,11.3217352121733,2,143
"wlss",3052.44554188715,2536.90725046688,11.6004328769542,3327.53604024623,2700.26886361129,10.751911404993,2,143
"wlsv",3206.78543072974,2681.9273366379,13.0489106541086,3352.93375649504,2749.19480563509,12.3840244666355,2,143
"base",8351.65295993925,7069.00026456575,17.7187837313862,11499.5325201254,9888.68143352243,10.3704340314053,2,144
"bu",7725.25497654312,6967.42557075932,16.0698495247185,10813.1980951959,10115.6684060855,7.20399838172332,2,144
"mint",7621.360144394,7250.01340657164,19.3071517423621,10102.7501694445,9948.21141302557,11.9587688598501,2,144
"ols",8257.94183840051,7171.92059071679,18.7866270157899,11570.2654362166,10270.5743236616,7.99728062940211,2,144
"wlss",8065.49759210536,7050.04049577945,16.9840943222244,11177.7476138758,10102.4724608484,7.97627407400833,2,144
"wlsv",8064.64356964736,7033.98635265718,16.1097231725351,11277.5678718927,10221.5074236464,7.58121464535434,2,144
"base",7283.47142712629,5775.2443624532,12.8065297376674,11745.515348778,9169.49543369726,14.2526880567311,2,145
"bu",7030.15467269247,5233.69258060384,12.1039825000264,11377.9305468453,8306.47415044496,14.2037727180661,2,145
"mint",7121.68537849146,5340.04984389968,12.0096728958357,11544.4901449959,8514.51786812276,14.0804608922332,2,145
"ols",7304.93633532214,5528.64719618681,14.5683728254461,11549.6902208841,8555.65810727062,16.9615793678564,2,145
"wlss",7280.78966933225,5655.8246738428,14.3091550625633,11488.4735068611,8738.91600859843,15.7326611082591,2,145
"wlsv",7307.95190455886,5493.87098304372,12.3025937041878,11823.9014425019,8730.88125420327,14.0263598115762,2,145
"base",10284.9295592627,7799.05642496093,15.7088741703751,16665.26977261,12369.2813136218,16.0819473668667,2,146
"bu",9756.04811700889,7137.62993588389,15.2446523732504,15698.3436499436,11241.1454818345,16.0548046474198,2,146
"mint",9728.7291011378,7082.30361913448,15.0493914786082,15527.7910929677,11092.0213561489,14.9367663960042,2,146
"ols",10113.0698676954,7541.28372558114,17.7694334787071,16228.9249270213,11808.147315684,20.594809178236,2,146
"wlss",10089.7154391368,7361.40704551191,17.6625737371917,15997.0743172187,11309.7926472279,18.4709920480565,2,146
"wlsv",10128.9835110191,7487.8639069505,15.5415354791047,16349.1998277622,11806.7748277908,15.8413759396846,2,146
"base",12236.3698747002,11959.0593287106,18.4955642156254,19756.9491562848,19303.1035503579,14.3805267620924,2,147
"bu",11523.4518523007,11320.1793109696,18.1524704885976,18568.1509720782,18224.9116148943,14.4980461713261,2,147
"mint",11269.0439708572,10936.4537204259,16.6884772888955,18143.64351746,17706.791637338,12.8525641429322,2,147
"ols",12020.8752190309,11779.8889554777,18.6190923179792,19306.0543359216,18897.0967548226,13.6766475221051,2,147
"wlss",11922.3879085647,11711.5228713853,17.6302387165363,19332.5100885718,18979.8111117804,13.5746783285806,2,147
"wlsv",11906.8397221433,11697.4840516211,18.3352201976856,19216.6118058689,18856.4527722211,14.2230759784477,2,147
"base",8512.09099338983,8367.97303745425,15.8864023280291,13456.8238486286,13283.5816032192,14.3036014167561,2,148
"bu",7361.85108845453,7208.01512584804,15.2276994000857,11534.8039850018,11269.8636267519,14.1857196390221,2,148
"mint",6615.09307657321,6365.75791012692,13.8111278339464,10164.2043905022,9843.65805584795,12.0552817649719,2,148
"ols",7731.841611219,7524.49576433886,8.22352884686356,12396.2061167158,12276.8972088594,2.57758729912415,2,148
"wlss",7968.40319039617,7822.26728904652,14.1194701737617,12552.8625658388,12352.6304494077,10.4726016625317,2,148
"wlsv",7821.34661252599,7677.9644566666,15.5181574894898,12299.6868721807,12055.9797162748,13.9113246792446,2,148
"base",12033.5818006736,11028.1328911059,15.9845297977314,19737.0917521854,18018.0655173132,13.1920845522283,2,149
"bu",11691.4978300479,10592.5675139736,15.9357408556355,19169.9674757698,17273.1554668763,13.6796642873724,2,149
"mint",9950.79009585731,8864.96425913751,14.2901485831027,15958.0934147124,14098.0716843537,9.48759921383693,2,149
"ols",11896.0683471587,10786.350686128,10.7229160945218,19365.8248752487,17505.6019166451,3.27131554691542,2,149
"wlss",12050.2489601368,10893.9830563015,13.2309894275634,19589.5828770348,17698.3785202612,5.34021936302053,2,149
"wlsv",11546.0861690734,10401.2251281774,15.7769619255309,18938.7977305261,16959.3854474652,13.7641055155305,2,149
"base",17853.2608880521,17700.5104864615,19.6889304171897,29235.7497014084,29143.8610779153,9.07903636725014,2,150
"bu",16809.5859955508,16651.2333947505,19.127661163777,27379.1323109402,27346.5402503745,8.8022637979826,2,150
"mint",16916.0468345783,16679.6261542244,18.5347953693969,27534.794877215,27459.4396816671,8.13192667824945,2,150
"ols",17535.5166960937,17333.0380206148,18.0631565650525,28721.1438464953,28655.722980466,7.66235700791204,2,150
"wlss",17538.4170274536,17368.9373879414,19.4375178472659,28617.7364197151,28562.8786373571,8.53591589818815,2,150
"wlsv",17379.6174495953,17197.8208128028,19.5400083887775,28358.1526905482,28260.2612545717,8.87420547348786,2,150
"base",18532.4070756433,18519.6726915577,20.8868681982776,30208.0306270653,30191.895630809,5.2177809972956,2,151
"bu",17679.8867354625,17667.6822843578,21.1486996741375,28599.1780232359,28582.514206888,4.51232216638085,2,151
"mint",16600.0024905574,16588.595038931,20.9702104159036,26360.815765802,26347.0112995592,0.802783364750057,2,151
"ols",18215.0354270292,18204.2941587183,21.2415407539341,28783.2228790612,28770.8930161203,7.5728368081186,2,151
"wlss",18137.0188499991,18122.0767380435,19.5268091155787,28983.1945614543,28974.070516379,6.8565581628452,2,151
"wlsv",17622.4345108157,17608.6965076531,20.9600131201931,28501.5188849442,28481.8922033378,4.12465611102972,2,151
"base",18200.1477310538,18133.4317841707,17.6192121407203,29774.0602594928,29748.1602516153,4.24691788565516,2,152
"bu",17344.6438438618,17283.9986582837,17.5254561737293,28168.030938353,28157.9462161472,3.415175352589,2,152
"mint",17621.6126261765,17558.043373858,17.5615800573168,28590.4775658775,28591.5618417028,3.90685346694137,2,152
"ols",17846.6084761199,17787.1858785773,17.5505176674193,29084.5359707914,29082.93662142,3.910474130997,2,152
"wlss",17748.3134137775,17699.0918974757,17.6509271867398,28956.0866595775,28945.2070009674,3.70533241730608,2,152
"wlsv",17741.806727647,17680.6657230113,17.6272776410596,28887.9063321425,28883.0907958955,3.71065446967542,2,152
"base",16875.1046284975,16617.7054486625,17.6490660296813,27331.8898587909,27043.7010933682,5.89694557691096,3,140
"bu",16734.3415109858,16508.8991101646,19.4580153944111,26343.7841315078,26063.1549247433,1.53872984394894,3,140
"mint",13525.9365260374,13211.220623504,10.5770010642444,22246.3042462777,21939.9500907664,5.86202638478622,3,140
"ols",17063.8265090349,16825.0849553883,21.1821098844972,27221.9515071949,26923.263898469,7.42372526513374,3,140
"wlss",16804.8503922435,16575.4301223983,18.9717935405608,26767.3505321305,26504.082868355,3.64242806442266,3,140
"wlsv",16829.89545344,16596.1188509519,18.9892857288745,26709.8914233212,26429.8168234674,2.73293102298754,3,140
"base",15092.2334126529,12795.7711522813,16.3864807909669,23692.9512003233,20051.7693340352,1.80420075784777,3,141
"bu",14508.4947503766,12084.839931399,15.8878420937728,22887.7802586383,18937.4708866112,2.45979124708152,3,141
"mint",14124.5418569916,11686.7019936497,15.8921285031385,22362.6605777996,18270.8592856441,2.6056417249027,3,141
"ols",14990.3070090447,12637.4534528259,18.6190790772346,23370.8701545618,19572.1028811684,4.99896685346372,3,141
